date,account,classification,daily_net_pnl,trade_count,wins,losses,total_volume,avg_trade_size,long_trades,win_rate,buy_ratio,cum_pnl,running_max,drawdown
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,60346.72884,328,135,192,2769684.87,8444.161189024391,183,0.41284403669724773,0.5579268292682927,60346.72884,60346.72884,0.0
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,606419.70745881,3806,1885,1921,34247716.57,8998.349072517078,1797,0.4952706253284288,0.4721492380451918,666766.43629881,666766.43629881,0.0
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,-9508.6292,730,222,508,4540452.9,6219.798493150685,357,0.3041095890410959,0.48904109589041095,-9508.6292,-9508.6292,0.0
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,100564.053495,1703,551,1151,33455719.11,19645.16682912507,960,0.3237367802585194,0.5637110980622431,91055.424295,91055.424295,0.0
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,200814.71250999998,3737,1443,2294,76490050.69,20468.303636606903,2107,0.38613861386138615,0.5638212469895638,291870.136805,291870.136805,0.0
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,-12.38025211,223,0,223,727332.09,3261.5788789237668,223,0.0,1.0,-12.38025211,-12.38025211,0.0
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,375344.91759342,5777,2337,2787,163514779.13,28304.44506318158,2646,0.4560889929742389,0.4580231954301541,375332.53734131,375332.53734131,0.0
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,101502.347358,250,250,0,131367.84,525.47136,0,1.0,0.0,101502.347358,101502.347358,0.0
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,6858.6623190676,572,152,417,509692.65,891.0710664335664,346,0.2671353251318102,0.6048951048951049,108361.0096770676,108361.0096770676,0.0
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,327216.515076,202,104,98,3294849.97,16311.138465346536,104,0.5148514851485149,0.5148514851485149,327216.515076,327216.515076,0.0
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,97139.97511670999,932,410,522,7547409.37,8098.078723175966,299,0.43991416309012876,0.3208154506437768,424356.49019271,424356.49019271,0.0
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,51644.855386,419,12,407,965878.98,2305.200429594272,11,0.028639618138424822,0.026252983293556086,51644.855386,51644.855386,0.0
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,341756.92135283997,939,372,567,1993872.85,2123.4002662406815,574,0.3961661341853035,0.6112886048988285,393401.77673884,393401.77673884,0.0
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,187436.67582899999,3041,2777,264,11184217.49,3677.8091055573827,1409,0.9131864518250575,0.4633344294639921,187436.67582899999,187436.67582899999,0.0
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,37233.42552132,1016,833,183,2089293.61,2056.391348425197,545,0.8198818897637795,0.5364173228346457,224670.10135031998,224670.10135031998,0.0
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,134468.722261,4885,3900,985,11383531.66,2330.3033080859777,2321,0.7983623336745138,0.47512794268167863,359138.82361132,359138.82361132,0.0
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,14010.36119204,1554,701,853,5661783.44,3643.361287001287,687,0.4510939510939511,0.4420849420849421,14010.36119204,14010.36119204,0.0
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,-0.12958992,15,0,15,34998.8,2333.2533333333336,15,0.0,1.0,-0.12958992,-0.12958992,0.0
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,195419.60423199998,3056,879,2177,6875178.28,2249.731112565445,979,0.28763089005235604,0.32035340314136124,195419.47464208,195419.47464208,0.0
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,7.3108031900000165,54,2,52,50397.380000000005,933.2848148148149,47,0.037037037037037035,0.8703703703703703,7.3108031900000165,7.3108031900000165,0.0
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,61212.960040670005,1802,599,1203,11629308.63,6453.556398446171,1071,0.33240843507214207,0.5943396226415094,61220.27084386,61220.27084386,0.0
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,39167.97969393,1804,579,1223,2483772.71,1376.8141407982262,625,0.3213096559378468,0.3464523281596452,39167.97969393,39167.97969393,0.0
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,45074.8354816,5602,1710,3892,3688147.16,658.3625776508391,2453,0.3052481256694038,0.4378793288111389,84242.81517553,84242.81517553,0.0
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,8538.18937428,724,55,668,2125807.78,2936.1985911602205,642,0.07607192254495158,0.8867403314917127,8538.18937428,8538.18937428,0.0
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,98443.77309946,2080,807,1273,7134710.2,3430.149134615385,1218,0.38798076923076924,0.5855769230769231,106981.96247374,106981.96247374,0.0
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,48699.003347,4211,1763,2447,6889828.6,1636.15022559962,2398,0.4187648456057007,0.56946093564474,48699.003347,48699.003347,0.0
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,38679.252386,9274,2966,6308,10738173.13,1157.8793541082598,6130,0.3198188483933578,0.6609877075695493,87378.255733,87378.255733,0.0
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,67871.04668076,283,155,127,476629.33,1684.2025795053005,125,0.549645390070922,0.4416961130742049,67871.04668076,67871.04668076,0.0
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,19429.249332,95,84,8,77964.33,820.6771578947369,0,0.9130434782608695,0.0,87300.29601276,87300.29601276,0.0
