freq_seg,size_seg,Fear,Greed
Infrequent,Small Cap,101818.10843221536,38277.585869509094
Infrequent,Large Cap,86549.56826174528,48102.68537344001
Frequent,Small Cap,159789.04633864155,139509.35384990333
Frequent,Large Cap,517876.12236102857,141552.90003634887
