,trade_count,trade_count,avg_trade_size,avg_trade_size,buy_ratio,buy_ratio
,mean,median,mean,median,mean,median
classification,,,,,,
Fear,4183.46875,2763.5,5926.522722732153,3207.8879088660174,0.45935203482903747,0.47135763144994025
Greed,1168.945945945946,283.0,5637.302441468773,2786.4265445026176,0.49884742234493623,0.46883988494726747
